Name,Address,Contact no.,Email
Manoharbhai Patel Institute Of Engineering & Technology Bhandara,"Address : N.H.6, Shahapur, Bhandara, Maharashtra State, India",7184 - 202054,principalmietb@rediffmail.com
Don Bosco Institute Of Technology Mumbai,"Address : Premier Automobiles Road, Kurla W - Mumbai - 400 070, Dist : Mumbai Suburban, Maharashtra State, India",22 - 25040508,dbit@dbit.in
Sree Sakthi Engineering College Coimbatore,"Address : 899/1&898/2 Bettathapuram, Bilichi Village, Karamadai Coimbatore, Tamil Nadu State, India",914254 - 4254295000,info@sreesakthi.edu.in
A.V.C. College Of Engineering Mayiladuthurai,"Address : Mayiladuthurai Mannampandal Mayiladuthurai, Dist : Nagapattinam, Tamil Nadu State, India",4364 - 4364227202,avcce@avccengg.net
Baba Kadhera Singh College Of Engineering & Technology Mathura,"Address : Nagla Akkha, Po- Sonkh, Sonkh-Goverdhan Marg, Dist- Mathura, (U.P). Pin- 281123, Uttar Pradesh State, India",565 - 2725112,bkscet@rediffmail.com
"Sankalchand Patel College Of Engineering, Visnagar","Address : Sankalchand Patel Sahakar Vidyadham, Gandhinagar - Ambaji State Highway, Kamana Char Rasta Visnagar, Dist : Mehsana, Gujarat State, India",2765 - 232008,principal@spcevng.ac.in
Poornima Group Of Institutions (Faculty Of Engineering & Faculty Of Management) Jaipur,"Address : Bt-1, Bio Technology Parkriico, Sitapura Jaipur, Rajasthan State, India",141 - 6500256,info@poornima.org
Sunder Deep Group Of Institutions Ghaziabad,"Address : Nh-24 Delhi- Hapur Road Ghaziabad, Uttar Pradesh State, India",120 - 2763052,vc@sunderdeep.ac.in
Institute Of Technology Korba,"Address : Balco Urga Ring Road, Vill- Jhagarha, Risdi Korba (C.G.), Chhattisgarh State, India",7759 - 659874,principal@itkorba.ac.in
"Nagarjuna Institute Of Engineering, Technology & Management Nagpur","Address : Khasra No.27, 32b, Village Satnavri, Amravati Raod, Nagpur, Maharashtra State, India",7118 - 9579850363,maitrey.ngp@gmail.com
R. N. G. Patel Institute Of Technology Rngpit Bardoli,"Address : At :isroli, Po:afwa, Bardoli-Navsari Road, Bardoli, Dist : Surat, Gujarat State, India",2622 - 9512900458,fetr.bardoli@gmail.com
Guru Tegh Bahadur Institute Of Technology Delhi,"Address : G - 8 Area Rajouri Garden Delhi, Dist : New Delhi, India",11 - 45599900,gtbitdr@gmail.com
Raghu Institute Of Technology Viskhapatnam,"Viskhapatnam college is provider of Graduate Degree, Post Graduate Engineering And Technology courses. Get institute course list, fees and contact. .. more details",8922 - 248013,principal@raghuinstech.com
V.R.S. College Of Engineering And Technology Arasur,"Address : Arasur Arasur & Postulundurpet Talukvillupuram Districttamil Naduindia607107, Dist : Viluppuram, Tamil Nadu State, India",4149 - 4149209153,vrscet@yahoo.com
Bharat Ratna Indira Gandhi College Of Engineering Solapur,"Address : Gat No 58/3, Pune- Solapur National Highway No. 9, Near Solapur University, Kegaon, Solapur., Maharashtra State, India",217 - 9822402141,ksgbs.bigcoe@gmail.com
Fatima Michael College Of Engineering & Technology Madurai,"Madurai college is provider of Graduate Degree, Post Graduate Engineering And Technology courses. Get institute course list, fees and contact. .. more details",452 - 2094658,fmcet935@gmail.com
Bengal Institute Of Technology And Management Bolpur,"Address : Sriniketan Bypassp.O.-Dorandadist- Birbhumwest Bengalpin-731236 Bolpur, West Bengal State, India",3463 - 271353,pp.camellia@gmail.com
Visakha Institute Of Engineering & Technology Visakhapatnam,"Address : 57th Division, Narava, Visakhapatnam, Dist : Vishakhapatnam, Andhra Pradesh State, India",891 - 2892904,vietvsp@gmail.com
Indus College Of Engineering Bhubaneswar,"Address : Barakuda Heightbhubaneswarpin-752050 Bhubaneswar, Dist : Khordha, Odisha State, India",674 - 6742111590,info@indus.ac.in
Jawahar Education Societys A. C. Patil College Of Engineering Navi Mumbai,"Address : Plot No. 17, Sector 4, Kharghar, Navi Mumbai 410210, Dist : Mumbai Suburban, Maharashtra State, India",22 - 27747522,borsed@hotmail.com
"Bharat Institute Of Technology, Sonepat","Address : Sonepat-Gohana Highwayvillage Naina Tatarpurnear Mohana Police Stationsonepat-131025haryana Sonepat, Haryana State, India",130 - 2555875,bits.sonepat@gmail.com
Sai Spurthi Institute Of Technology Sathupally,"Address : Sai Spurthi Institute Of Technologyb. Gangaram (Post)sathupally(Mandal)khammam (Dist)pin:507303a P Sathupally, Dist : Khammam, Telangana State, India",8761 - 288544,sssit.principal@gmail.com
Visvodaya Engineering College Kavali,"Address : Visvodaya Campusudayagiri Roadkavali-524201 Kavali, Dist : Nellore, Andhra Pradesh State, India",8626 - 240056,veckavali08@gmail.com
Cbs Group Of Institutions Jhajjar,"Address : Cbs Group Of Institutions, 8 Km Milestone Jhajjar-Kosli Road, Village Fatehpuri, District Jhajjar, Haryana, India",11 - 8053111666,choudhary.v@gmail.com
K. J. Somaiya College Of Engineering Mumbai,"Address : Vidyanagar, Vidyavihar, Mumbai -400077, Dist : Mumbai Suburban, Maharashtra State, India",22 - 66449191,principal.engg@somaiya.edu
"G. H. Raisoni College Of Engineering, Nagpur","Address : Crpf Gate No.3, Digdoh Hills, Midc Area, Hingna Road, Nagpur, Maharashtra State, India",7104 - 235220,principal.ghrce@raisoni.net
Heritage Institute Of Technology Kolkata,"Address : 994, Madurdaha, Chowbaga Road, Anandapurp.O. East Kolkata Township, Dist : South 24 Parganas, West Bengal State, India",33 - 66270614,admin@heritageit.edu
Amruta Institute Of Engineering And Management Sciences Bangalore,"Address : Bidadi Industrial Area, Off Mysore Road, Ramanagaram, Near Toyota Kirloskar Motors Road, Bmrda Region, Bangalore, Karnataka State, India","+91 9036568150, +91 9141201831, 80 - 974","principal@aiems.in, principalamruta@gmail.com"
Kurinji College Of Engineering And Technology Manapparai,"Address : Vengaikurichi Villagemalaiyadipatti Postmanapparai Tiruchirappalli - 621307 Manapparai, Tamil Nadu State, India",4332 - 4332292338,kurinjiprincipal@gmail.com
Aditya College Of Engineering Madanapalle,"Address : Valasapalli Post, Madanapalle, Chittoor Dist, Andhra Pradesh, India",8581 - 257999,ace.madanapalle@gmail.com
College Of Engineering Karunagappally Kollam,"Address : Thodiyoor P.O, Karunagappally Kollam, Kerala State, India",476 - 2666160,principal@ceknpy.ac.in
Chalapathi Institute Of Engineering And Technology Guntur,"Address : Chalapathi Nagar, Lam, Guntur-522034, Andhra Pradesh, India",863 - 2524117,chalapathiengtech@yahoo.com
Guru Nanak Dev Engineering College Ludhiana,"Address : Gill Park, Gill Road, Ludhiana, Punjab State, India",161 - 2502700,principal@gndec.ac.in
Acs College Of Engineering Bangalore,"Address : 207, Kambipura, Mysore Road, Kengeri Hobli, Bangalore - 560074., Dist : Bangalore Urban, Karnataka State, India",80 - 28437955,principal@acsce.edu.in
Jaihind College Of Engineering Pune,"Address : G. No. 441, Kuran, Tal. Junnar, Dist. Pune, Maharashtra State, India",2132 - 242027,jcoekuran@gmail.com
Marthandam College Of Engineering And Technology,"Address : P.M. Village Road, Kuttakuzhi, Veeyannoor Post, Kanyakumari District, Tamil Nadu. Marthandam, India",4651 - 276611,macet.office@gmail.com
Neil Gogte Institute Of Technology Ghatkesar,"Ghatkesar college is provider of Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",40 - 4029888262,snitin@ngit.ac.in
Agni College Of Technology Thalambur,"Address : Thalamburoff. Rajiv Gandhi Salaichengalpattu Talukkancheepuram Districtchennaipin Code : 603 103 Thalambur, Dist : Kanchipuram, Tamil Nadu State, India",9144 - 67409401,mail@act.edu.in
Hi-Tech Institute Of Technology Aurangabad,"Address : P-119, Bajajnagar Near Hotel Mrugnayniaurangabadpin Code 431136 Aurangabad, Maharashtra State, India",240 - 2553496,principal@hitechengg.edu.in
Dr.Nallini Institute Of Engineering And Technology Dharapuram,"Address : 68, Ram Nagar, Palani Road, Achiyur Post, Dharapuram, Tirupur District, Dist : Tiruppur, Tamil Nadu State, India",4258 - 223200,drnallinicoll@gmail.com
Ganapathy Chettiar College Of Engineering And Technology Paramakudi,"Address : Melakavanur(Po)paramakudiramanathapuram(Dist)tamilnadu Paramakudi, Dist : Ramanathapuram, Tamil Nadu State, India",4564 - 208836,ganapathyec@gmail.com
P.A.College Of Engineering And Technology Pollachi,"Address : Palladam Roadpollachicoimbatore - 642002 Pollachi, Dist : Coimbatore, Tamil Nadu State, India",4259 - 221387,pacollege@yahoo.com
Keystone Group Of Institutions Surajgarh,"Address : 169 Km Milestone, Village Pillodloharu-Chirawa-Jhunjhunu State Highway Surajgarh, Dist : Jhunjhunu, Rajasthan State, India",1596 - 1596510701,admissions@keystonegroup.in
Jms Group Of Institutions Hapur,"Address : Hans Knowledge Park, 34 Miles From Delhi, Delhi - Hapur Road, Ghaziabad, Uttar Pradesh State, India",122 - 2809501,jmsgzb@gmail.com
Devang Patel Institute Of Advance Technology And Research Changa,"Changa college is provider of Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",2697 - 2697265021,principal.dptr@charusat.ac.in
United Institute Of Technology Coimbatore,"Address : G.Koundampalayam, Periyanaickenpalayam Coimbatore, Tamil Nadu State, India",422 - 2692020,principal@uit.ac.in
Lourdes Matha College Of Science And Technology Trivandrum,"Address : Kuttichal P O, Trivandrumkeralapin 695 574, Dist : Thiruvananthapuram, Kerala State, India",472 - 2853550,"mail@lmcst.ac.in,lourdesmathaoffice@gmail.com"
Ultra College Of Engineering And Technology Madurai,"Address : 69/1, Ultra Nagar, Kodikulam I Bit, Madurai - Chennai Highway, Madurai - 625 104, Tamil Nadu, India",452 - 4522422057,principal@ucetw.ac.in
Indra Mohan Chauhan Memorial Polytechnic Tadwa Chaubepur,"Address : Village- Tadwa Chaubepurpost- Karhathana/Tehsil- Mohammadabad Gohana, Dist : Mau, Uttar Pradesh State, India",547 - 5472320009,indramohanpolytechnic@gmail.com
J.P. Institute Of Technology & Management Lucknow,"Address : 4.0 K.M. Stone Mohanlalganj Kanpur Bypass Road, Village- Bhasanda Pargana- Nigoha Tehsil - Mohanlalganj, Lucknow, Uttar Pradesh State, India",522 - 4016491,jppolytechnic2017@gmail.com
Greater Noida Institute Of Technology,"Address : Plot No. 6-C, Knowledge Park - Ii Greater Noida, Dist : Gautam Buddha Nagar, Uttar Pradesh State, India",120 - 2320210,chairman@gnit.net
Lalsa Institute Of Engineering & Rural Technology,"Address : Village & Post- Raipur, Tehsil- Jakhaniya, Ghazipur(Up) Pincode: 275204, Uttar Pradesh State, India","05495-237267, +91-9897677977, 05495 - 5495237267","lajaykumaryadavji@gmail.com, alsaiert@gmail.com, lalsapolytech@gmail.com"
Aryan School Of Engineering And Technology Bhubaneswar,"Address : At-Barakuda, Po- Panchagaon, Dist-Khordha Bhubaneswar, Dist : Khordha, Odisha State, India",674 - 2377121,aset.bbsr@gmail.com
Builders Engineering College Kangeyam,"Address : Ebet Knowledge Parkerode Roadnathakadaiyurkangeyam Kangeyam, Dist : Tiruppur, Tamil Nadu State, India",4257 - 241545,info@builderscollege.edu.in
College Of Engineering And Technology Bhubaneswar,"Address : Ghatikia, Bhubaneswar-751003, Dist : Khordha, Odisha State, India",674 - 2386075,principalcet@cet.edu.in
Prist School Of Engineering And Technology Chennai Manamai,"Address : Manamai Nallur Village, Thirukkalukundram Taluk, East Coast Road, Mahabalipuramkancheepuram Dt Manamai, Dist : Kanchipuram, Tamil Nadu State, India",44 - 27848400,balasathuragiri.t@gmail.com
"Synergy School Of Engineering, Dhenkanal","Address : Banamaliprasad, By The Side Of Nh, 55district-Dhenkanalpin-759001odisha Dhenkanal, Odisha State, India",6762 - 226708,sse-dkl@synergyinstitute.net
Government Polytechnic Indri Mewat,"Address : Indri Mewat, Haryana State, India",124 - 2337243,gpindri2017@gmail.com
Eklavya Government Polytechnic College Harsud,"Address : Eklavya Government Polytechnic College Harsud Dist Khandwa (M.P.), Madhya Pradesh State, India",733 - 2248625,rssisodiya@yahoo.co.in
Basav Engineering School Of Technology Indi,"Address : 144/3, At Post Zalki, Tq. Indi, Dist Vijaypura, Dist : Bijapur, Karnataka State, India",217 - 2720108,ssses667@gmail.com
Mahamaya Polytechnic For Information Technology Kasganj,"Kasganj college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",5744 - 273371,mmitkasganj@gmail.com
Techno Polytechnic Durgapur Kanksa,"Address : Behind B.D.O. Office, P.O.- Panagarh Bazar, Dist.- Burdwan, Pin - 713148 (W.B.) Kanksa, Dist : Bardhaman, West Bengal State, India",33 - 23576163,sudipta_25@rediffmail.com
Memari Government Polytechnic,"Address : Uttar Kailashpur, L.N.T Math, Block-1, Memarip.O.- Memari, Pin-713146, Dist.- Bardhaman, State- West Bengal, India",342 - 3422250250,pijushkanti9@gmail.com
Government Polytechnic Malab,"Address : Vpo Malab Tehsil Nuh Distic Mewat 122107, Haryana State, India",124 - 2337243,gpmalab@gmail.com
Government Polytechnic Pauri,"Address : City-Pauridistt.-Pauri Garhwalstate-Uttarakhand Pauri, Dist : Pauri Garhwal, Uttarakhand State, India",1368 - 1368222334,gp_pauri@rediffmail.com
Jntua College Of Engineering Kalikiri,"Address : Madanapalle Road Kalikiri, Dist : Chittoor, Andhra Pradesh State, India",8586 - 510502,principal.cek@jntua.ac.in
Sri Venkateswara College Of Engineering Tirupati,"Address : Opp Lic Training Center, Karakambadi Road, Chennaiahgunta Tirupati, Dist : Chittoor, Andhra Pradesh State, India",877 - 2285992,svce@svcolleges.edu.in
"Government Engineering College, Krishnarajpet K.R. Pet","Address : Government Engineering College, Krishnarajpet, Mandya Dist. - 571 426, Karnataka K.R. Pet, India",8230 - 262872,pplgeckrpet@rediffmail.com
"Department Of Computer Science, Cochin University Of Science And Technology","Address : Cusatkochi 682022 Kalamassery, Dist : Ernakulam, Kerala State, India",484 - 2862301,csdir@cusat.ac.in
Satpuda Polytechnic College Balaghat,"Address : Lalburra Road Manjhapur, (Garra) Balaghat, Madhya Pradesh State, India",7632 - 9425175533,sanjeevsatpuda@gmail.com
Bhagwan Arihant Institute Of Technology Surat,"Address : Survey No:149, Nr, Vip Road, B/H.Shyam Mandir, Vesu - Bharthana, Surat, Gujarat State, India",261 - 6770163,bmeftrust2002@gmail.com
Government Polytechnic Barechhena Almora,"Address : Pithoragarh Road, Barechhena Almora, Uttarakhand State, India",5962 - 5962261022,gpbarechhena@gmail.com
"Nalanda College Of Engineering, Chandi","Address : Chandi, Nalanda Chandi, Bihar State, India",916111 - 273671,cbmahto1960@gmail.com
Bajaj Institute Of Technology Wardha,"Address : Arvi Road, In Front Of Ramkrishna Bajaj Agriculture College, Pipri - Wardha, Maharashtra State, India",7152 - 7152254770,shikshamandal@gmail.com
Anjanya Polytechnic College Tumsar,"Address : Khasara No 165/2, 165/2/1, 165/3/1 Mauza Khairlangi Tashil. Tusamar Distric : Bhandara Tumsar, Maharashtra State, India",7183 - 7122778052,shaileshnasare@gmail.com
Baba Institute Of Technology And Sciences Visakhapatnam,"Address : P M Palem, Madhurawada Visakhapatnam, Dist : Vishakhapatnam, Andhra Pradesh State, India",891 - 2569933,srilakshmikondru@yahoo.com
Government Polytechnic Kandikhal Tehri Garhwal,"Address : Government Polytechnic Kandikhal Tehri Garhwal 249131 Chamba, Uttarakhand State, India",1376 - 282205,gpkandikhal@gmail.com
Alwardas Polytechnic Visakhapatnam,"Address : 124 Part, Vepagunta, Rrvpuram, Gopalapatnam, Visakhapatnam, Andhra Pradesh State, India",891 - 2522607,ageihr2017@gmail.com
Government Tool Room And Training Centre Gowribidanur,"Address : Plot No 1p-1a, Kudumalakunte Industrial Area, Hindupur Road, Gowribidanur, Dist : Chikaballapur, Karnataka State, India",80 - 8660758895,gttcgowribidanuru@gmail.com
Government Polytechnic Kulsari,"Address : Vill.- Kulsari Post Office- Kulsari Distt.- Chamoli Karnaprayag, Uttarakhand State, India",1363 - 275252,principalgpkulsari@gmail.com
Government Polytechnic Pabau Chopriyoun,"Address : Village & Post Office : Chopriyounblock : Pabau, Dist : Pauri Garhwal, Uttarakhand State, India",1346 - 250169,polypabauchopriyoun@gmail.com
"Government Polytechnic, Mujahana, Hata, Kushinagar","Address : Mujahana, Hatakushinagar-274203 Kushinagar, Uttar Pradesh State, India",5568 - 241230,gpolyhata@gmail.com
Government Girls Polytechnic Shahjahanpur,"Address : Vill. Jahanpur, Tehsil- Tilhar, Post- Nigohi Shahjahanpur, Uttar Pradesh State, India",5842 - 240079,govtpolyspn@gmail.com
"Government Polytechnic Danya, Almora","Address : Village- Falyat, Tehsil- Bhanoli Almora, Uttarakhand State, India",5962 - 271070,gpdanya@rediffmail.com
Amravati Polytechnic Rairangpur,"Address : At/Po/Ps-Rairang Pur Rairangpur, Dist : Mayurbhanj, Odisha State, India",6793 - 283311,kamalendulal66@gmail.com
Chandigarh Engineering College Mohali,"Address : V.P.O.Landrantehsil- Kharardistt. Mohali SAS Nagar (Mohali), Punjab State, India",172 - 3984280,director@cecmohali.org
"Guru Nanak Institute Of Engineering & Management, Dalewal","Address : Naushehra, Dalewal, Dist. Hoshiarpur 144208, Punjab State, India","8725002704, 8725002711, 1886 - 250566",gniem2009@gmail.com
Sri Venkateshwara College Of Engineering Bangalore,"Address : Vidyanagar, Bengaluru International Airport Road, Bettahalasur Post, Bengaluru North, Bengaluru - 562 157 Bangalore, Dist : Bangalore Urban, Karnataka State, India",80 - 9740202345,principal@svcengg.edu.in
Gola Polytechnic Ramgarh,"Address : Village: Huppu Heramdaga Gola, District Ramgarh, Jharkhand, India",33 - 22893944,gm@jisgroup.org
Sri Venkateswara Engineering College Tirupati,"Address : Opp. Lic Training Center, Karakambadi Road Tirupati, Dist : Chittoor, Andhra Pradesh State, India",877 - 8772285993,principal@svew.edu.in
Government Polytechnic Peerumadara Ramnagar( Nainital),"Address : Villege Dhanpur Gusain Peerumadara Ramnagar, Dist : Nainital, Uttarakhand State, India",5947 - 282022,principalprurn@gmail.com
School Of Engineering Guwahati,"Address : Tetelia Road, Jalukbari, Guwahati, Assam, Pin Code-781013, Dist : Kamrup Metropolitan, India",361 - 2732002,phukan.br@gmail.com
"Government Polytechnic, Puraina Sadar, Maharajganj","Address : Vill+po- Puraina Khandi, Tehsil- Sadar, Maharajganj, U.P. 273302 Puraina Sadar, Uttar Pradesh State, India",551 - 2500125,gppmaharajganj@gmail.com
Harishchandra Government Polytechnic Bhalswagaj Haridwar Jhabrera,"Jhabrera college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",1332 - 231333,gpbj2013@gmail.com
Brahma Valley College Of Engineering And Research Institute Nashik,"Address : Brahma Valley Campus, Anjaneri, Trimbakeshwar. Nashik, Maharashtra State, India",2594 - 220202,princi.bvcoe@gmail.com
Gayatri Vidya Parishad College Of Engineering Visakhapatnam,"Address : Madhurawada, Visakhapatnam Pin: 530 048, Dist : Vishakhapatnam, Andhra Pradesh State, India",891 - 2739538,principal@gvpce.ac.in
Government Polytechnic Baram Dharchula,"Address : Government Polytechnic Baram Dharchula, Dist : Pithoragarh, Uttarakhand State, India",5965 - 234535,gpbaram@gmail.com
National Institute Of Foundry And Forge Technology Ranchi,"Address : Hatia, Ranchi, Jharkhand State, India",651 - 6512902030,do.nifftranchi@gmail.com
"Rajkiya Engineering College, Azamgarh","Address : Deogaon, Azamgarh Deogaon, Uttar Pradesh State, India",5462 - 202041,director@gecazamgarh.ac.in
St.Michael College Of Engineering & Technology,"Address : St.Santhiagaper Nagar, Kalayarkoil, Sivaganga District.Tamil Nadu - 630551, Tamil Nadu State, India","+91 99427 96723, +91 99427 96746, 4575 - 232009","info@smcet.edu.in, principal@smcet.edu.in"
Azad Lucknow Polytechnic,"Address : Azadpuram, Adjacent Crpf Camp, Po: Chandrawal, Bijnour, Lucknow, Uttar Pradesh State, India",522 - 2817608,ahmad_shafeeq@rediffmail.com
Majlis Polytechnic College Moorkanad,"Address : Majlis Nagar, Puramannur(P O), Moorkanad Panchayath, Perinthalmanna(Taluk), Mankada (Block), Mankada Legislative Constituency, Valanchery Malappuram Dist Kerala 676552, India",494 - 4942642939,info@majliscomplex.org
Gregorian Institute Of Technology Kottayam,"Address : Kanjirappara (Po)kottayamkangazha Kottayam, Kerala State, India",468 - 4812497007,gitkottayam@gmail.com
Gramin Collage Of Engineering Nanded-Waghala,"Address : Gramin College Of Engineerng, Vishnupuri Nanded Nanded Waghala, Maharashtra State, India",2462 - 229900,drvspawar@gmail.com
Prist School Of Engineering And Technology Madurai Arasanoor,"Arasanoor college is provider of Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",4575 - 202122,mknmsn.1983@gmail.com
School Of Technology Shillong,"Address : Mawkynroh-Umshingmawlai Shillong, Dist : East Khasi Hills, Meghalaya State, India",364 - 2723601,sotdean@gmail.com
Sonitpur Polytechnic Dhekiajuli,"Address : Dhekiajuli Dhekiajuli, Dist : Sonitpur, Assam State, India",3712 - 3712248533,sonitpurpolytechnic@gmail.com
Government Polytechnic Jakholi,"Address : Block Office Buildingblock- Jakholidistrict- Rudraprayaguttarakhand, Uttarakhand State, India",1370 - 234312,principalgpj@yahoo.com
"Government Polytechnic, Nanakpur Kalka","Address : Village Nanakpur, Block Kalka, Tehsil Pinjore, Dist : Panchkula, Haryana State, India",0 - 7807979979,gpnanakpur@gmail.com
Government Polytechnic Chappar Charkhi Dadri,"Address : Village Chappar Distt. Dadri Haryana Charkhi Dadri, Dist : Bhiwani, India",1250 - 1252258746,gpchhapar2017@gmail.com
Chandil Polytechnic,"Address : Village: Ghoraling, Chandil, Dist: Sereikela Kharsawan, Jharkhand, Dist : Sareikela And Kharsawan, India",33 - 22893944,principal_gpf@jisgroup.org
"Svkms Nmims School Of Business Management, Navi Mumbai","Address : Plot No. 2, Sector-33, Behind Ramseth Thakur Junior College, Kharghar, Taluka: Panvel, Navi Mumbai, Dist : Raigad, Maharashtra State, India",22 - 2242355555,drpnmukherjee@nmims.edu
"Techno Global University, Sironj","Sironj college is provider of Graduate Degree Engineering And Technology courses. Get institute course list, fees and contact. .. more details",33 - 23576163,tom_tanmoy83@yahoo.com
Nirmala Devi Polytechnic College Nayansand,"Address : Nayansand Near Gaurabashahapur Thana Nayansand, Dist : Jaunpur, Uttar Pradesh State, India",5452 - 22641,dnirmala432@gmail.com
Salbani Institute Of Technology Midnapore,"Address : Vill-Bankibandh, P.O-Saiyedpur, P.S-Salboni, Dist-Paschim Medinipur, Pin-721147, West Bengal Midnapore, Dist : Paschim Medinipur, India",3227 - 3227285108,sit.salbani@gmail.com
Pemiya Rishikesh Institute Of Technology Topchanchi,"Address : Nh-2, Sahu Bahiyar, Topchanchi, Dist : Dhanbad, Jharkhand State, India",326 - 2372774,rmmpetrust@gmail.com
P P Savani School Of Engineering Kosamba,"Address : P P Savani Knowledge City Campus, Nh 8, Getco, Near Biltech Company, Village: Dhamdod, Kosamba, Ta.: Mangrol, Dist.: Surat - 394125., Gujarat State, India",2629 - 2629296788,niraj.shah@ppsu.ac.in
Government Polytechnic West Champaran Motihari,"Address : At Govt Polytechnic, Motihari Campus, Lauthan, Behind Iti Near Court, Dist : East Champaran, Bihar State, India",6252 - 2230273,gpwestchamparan145@gmail.com
Gaighata Government Polytechnic Bangaon,"Address : Vill-Debipurpo-Chandparaps-Gaighatanorth 24 Parganaspin-743245 Bangaon, Dist : North 24 Parganas, West Bengal State, India",3215 - 3215250393,gaighatapolywb@gmail.com
Government Polytechnic Khonsa,"Address : Kheti Villagekhonsa Tirap Dist Arunachal Pradesh-792130 Khonsa, India",3806 - 202890,sskumarhodaue@rediffmail.com
"Government Polytechnic, Kishanganj Thakurganj","Address : Nezagachha, Po-Nainagachhi, Via-Thakurganj, Ps-Kurlikot Thakurganj, Dist : Kishanganj, Bihar State, India",6459 - INPROGRESS,ansurkumarjsr@gmail.com
Iipm School Of Engineering & Technology Kansbahal,"Address : At /Po. Kansbahal, Dt.Sundargarh, Odisha 770034, Dist : Sundergarh, India",6624 - 6624280322,info@iipm.ac.in
"Techno India University, West Bengal Salt Lake","Address : Em-4, Sector-V, Salt Lake, Kolkata-700091, Dist : North 24 Parganas, West Bengal State, India",33 - 23576163,kunalearly@gmail.com
Government Polytechnic Mohammadi Kheri,"Address : Gola Road Mohammadi Kheri, Dist : Lakhimpur-Kheri, Uttar Pradesh State, India",5872 - 5872273257,gpl_kheri@rediffmail.com
Ch. Ranbir Singh State Institute Of Engineering And Technology Silani Kesho Jhajjar,"Address : Village Silani Kesho Jhajjar, Haryana State, India",1251 - 9416012060,directorcrssiet@gmail.com
"Mewar School Of Engineering & Technology, Mewar University, Gangrar, Chittorgarh","Address : Mewar University, Nh-79, Gangrar, Chittorgarh, Rajasthan State, India",1471 - 285451,deanengg@mewaruniversity.org
Shri Sai College Of Engineering & Technology Chandrapur,"Address : Near Village Lonara, Nagpur Road, Tah. Bhadrawati, Dist. Chandrapur (M.S.), Maharashtra State, India",7175 - 7768999001,mdyergude@yahoo.com
Barpeta Polytechnic,"Address : Ganakkuchi Barpeta, Assam State, India",3666 - 3612382276,barpetapolytechnic@gmail.com
Garhwa Polytechnic,"Address : Vill:hasker, Thana:garhwa, Garhwa, Jharkhand State, India",6561 - 9199249770,garhwa.polytechnic2017@gmail.com
"Engineering College, Karauli","Address : Village- Manchitahshil- Karaulinear Mega Highway, Rajasthan State, India",5644 - 5644234911,principal.geckarauliraj@gmail.com
Government Polytechnic College Kooduveli,"Address : Kooduveli Village, Kattumannarkoil Taluk. Kooduveli, Dist : Cuddalore, Tamil Nadu State, India",4144 - 238233,gptckdv@gmail.com
Central Institute Of Plastics Engineering & Technology CIPET Raipur,"Address : Industrial Area Bhanpuri, Bhanpuri Raipur, Chhattisgarh State, India",771 - 6673002,cipetraipur@gmail.com
Sarang Institute Of Polytechnic Tumkur,"Address : Opp Iocl Bunk, Kunigal Road, Gulurtumkur Tumkur, Karnataka State, India",816 - 2246115,gwdjy@yahoo.com
Government Polytechnic Balod,"Address : Government Polytechnic Balod, Near Govt. Iti, Balod, Dist : Durg, Chhattisgarh State, India",7722 - 237618,govtpolybalod@gmail.com
"Synergy Polytechnic, Bhubaneswar","Address : At Bhimpur, Po Phulnakhara Bhubaneswar, Dist : Khordha, Odisha State, India",671 - 6712356137,binod.dash@synergyinstitute.ac.in
Sibsagar Polytechnic,"Address : Sibsagar Sibsagar, Assam State, India",361 - 3612382276,ritunjoybhuyan@ymail.com
Baksa Polytechnic Belguri Pathar,"Belguri Pathar college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",3624 - 3612382276,baksapolytechnic@gmail.com
Goalpara Polytechnic,,3663 - 3663241224,goalparapolytechnic@gmail.com
Gujarat Technological University - Graduate School Of Engineering And Technology Ahmedabad,"Address : Sabarmati-Koba Highway, Nr. Visat Circle, Chandkheda, Ahmedabad, Gujarat State, India",79 - 23267803,registrar@gtu.ac.in
Government Polytechnic; Deogarh Debgarh,"Address : At/Po Deogarh Debgarh, Dist : Debagarhâ (Deogarh), Odisha State, India",6641 - 226667,principalgpdeogarh@gmail.com
Naraina Polytechnic Institute Panki,"Address : Gangaganj, Panki, Kanpur, Dist : Kanpur Nagar, Uttar Pradesh State, India",512 - 2260068,md@narainagroup.net
Beharagora Polytechnic College Ghatshila,"Address : Main Roadbeharagora Ghatshila, Dist : East Singhabhum, Jharkhand State, India",674 - 2563835,malaya@thenalanda.com
Asan Memorial College Of Engineering And Technology Chengalpattu,"Address : Asan Nagar9th Kilometerchengalpattu-Mahabalipuram Highwaypost Box No:6chengalpattu-603001 Chengalpattu, Dist : Kanchipuram, Tamil Nadu State, India",44 - 27447283,asanengg@yahoo.co.in
Golaghat Polytechnic,"Address : Furkating Golaghat, Assam State, India",3774 - 3612382276,golaghatpolytechnic@gmail.com
